"RepName","GapHeight","Subject","Behavior","Join","Leave","tstart_j","tstop_j","tstart_l","tstop_l","maxSliceR","Extend","SliceR_start_j","SliceR_stop_j","SliceR_start_l","SliceR_stop_l","gaplength_j","gaplength_latency","gaplength_l","latency_tojoin","traf_join_down","traf_join_up","time_spent","traf_leave_down","traf_leave_up"
"25_S9_T6","25","A6","Pausing",1,1,66.947,68.275,68.275,72.858,1658,1,1366,1398,1398,1508,11.75584,11.75584,11.4833685585586,1.328,0,0,4.583,0,0
"25_S9_T6","25","A6","Extension",1,1,72.858,75.353,75.353,78.103,1658,1,1508,1568,1568,1634,10.790497704918,10.790497704918,8.74271014925373,2.49499999999999,0,0,2.75,0,0.363636363636364
"35_S11_T4","35","A1","ChainBottom",0,0,31.482,37.233,NA,NA,4178,0,515,653,NA,NA,29.9603087553957,29.9603087553957,NA,5.751,0,0,NA,NA,NA
"35_S11_T4","35","A1","Extension",0,0,31.482,37.233,NA,NA,4178,0,515,653,NA,NA,29.9603087553957,29.9603087553957,NA,5.751,0,0,NA,NA,NA
"35_S11_T4","35","A2","ChainBottom",0,0,39.233,42.982,NA,NA,4178,0,701,791,NA,NA,28.7446310879121,28.7446310879121,NA,3.749,0,0,NA,NA,NA
"35_S11_T4","35","A2","Extension",0,0,39.233,42.982,NA,NA,4178,0,701,791,NA,NA,28.7446310879121,28.7446310879121,NA,3.749,0,0,NA,NA,NA
"35_S11_T4","35","A3","ChainBottom",0,0,44.819,49.567,NA,NA,4178,0,835,949,NA,NA,28.8020724956522,28.8020724956522,NA,4.748,0,0,NA,NA,NA
"35_S11_T4","35","A3","Extension",0,0,44.819,49.567,NA,NA,4178,0,835,949,NA,NA,28.8020724956522,28.8020724956522,NA,4.748,0,0,NA,NA,NA
"35_S11_T4","35","A5","ChainBottom",0,0,60.155,65.65,NA,NA,4178,0,1203,1335,NA,NA,27.0923151578947,27.0923151578947,NA,5.495,0.181983621474067,0,NA,NA,NA
"35_S11_T4","35","A5","Extension",0,0,60.155,65.65,NA,NA,4178,0,1203,1335,NA,NA,27.0923151578947,27.0923151578947,NA,5.495,0.181983621474067,0,NA,NA,NA
"35_S11_T4","35","A4","ChainBottom",0,0,62.156,75.902,NA,NA,4178,1,1251,1581,NA,NA,26.4668023836858,26.4668023836858,NA,13.746,0.145496871817256,0.072748435908628,NA,NA,NA
"35_S11_T4","35","A4","Extension",0,0,62.156,65.652,65.652,67.9,4178,1,1251,1335,1335,1389,26.9074804117647,26.9074804117647,26.9867315272727,3.496,0,0.28604118993135,2.248,0,0
"35_S11_T4","35","A6","Pausing",1,1,69.647,72.568,72.568,122.4,4178,0,1431,1501,1501,2697,26.4903604225352,26.4903604225352,21.337121887218,2.92099999999999,0.342348510783979,0,49.832,0.120404559319313,0.0802697062128752
"35_S11_T4","35","A6","Extension",1,1,69.647,72.568,NA,NA,4178,0,1431,1501,NA,NA,26.4903604225352,26.4903604225352,NA,2.92099999999999,0.342348510783979,0,NA,NA,NA
"35_S11_T4","35","A7","ChainBottom",0,0,72.069,184.04,NA,NA,4178,0,1489,4176,NA,NA,18.6323107607887,18.6323107607887,NA,111.971,0.116101490564521,0.0625161872270499,NA,NA,NA
"35_S11_T4","35","A7","Extension",0,0,72.069,184.04,NA,NA,4178,0,1489,4176,NA,NA,18.6323107607887,18.6323107607887,NA,111.971,0.116101490564521,0.0625161872270499,NA,NA,NA
"35_S11_T4","35","A8","ChainBottom",0,0,80.147,85.151,NA,NA,4178,0,1683,1803,NA,NA,21.3880183471074,21.3880183471074,NA,5.00399999999999,0.399680255795364,0,NA,NA,NA
"35_S11_T4","35","A8","Extension",0,0,80.147,85.151,NA,NA,4178,0,1683,1803,NA,NA,21.3880183471074,21.3880183471074,NA,5.00399999999999,0.399680255795364,0,NA,NA,NA
"35_S11_T4","35","A9","Pausing",1,0,82.399,83.568,83.568,171.666666666667,4178,0,1737,1765,1765,3880,21.31557,21.31557,19.3687308884688,1.169,0,0,88.0986666666667,0.102158186275994,0.0681054575173291
"35_S11_T4","35","A9","Extension",1,0,82.399,83.568,NA,NA,4178,0,1737,1765,NA,NA,21.31557,21.31557,NA,1.169,0,0,NA,NA,NA
"35_S11_T4","35","A10","ChainBottom",0,0,84.191,98.896,NA,NA,4178,1,1780,2133,NA,NA,20.4266236723164,20.4266236723164,NA,14.705,0.136008160489629,0.0680040802448147,NA,NA,NA
"35_S11_T4","35","A10","Extension",0,0,84.191,85.401,85.401,87.899,4178,1,1780,1809,1809,1869,21.26302,21.26302,21.012661147541,1.20999999999999,0,0.82644628099174,2.498,0.400320256204963,0
"35_S11_T4","35","A11","Pausing",1,1,86.648,107.485,107.485,139.318,4178,0,1839,2339,2339,3103,20.637102994012,20.637102994012,20.6845227712418,20.837,0.0959831069731727,0.0959831069731727,31.833,0.0314139415072409,0.0628278830144818
"35_S11_T4","35","A11","Extension",1,1,86.648,107.485,NA,NA,4178,0,1839,2339,NA,NA,20.637102994012,20.637102994012,NA,20.837,0.0959831069731727,0.0959831069731727,NA,NA,NA
"35_S11_T4","35","A12","ChainBottom",0,0,91.56,106.114,NA,NA,4178,0,1957,2306,NA,NA,20.6681784,20.6681784,NA,14.554,0.0687096330905593,0.0687096330905593,NA,NA,NA
"35_S11_T4","35","A12","Extension",0,0,91.56,106.114,NA,NA,4178,0,1957,2306,NA,NA,20.6681784,20.6681784,NA,14.554,0.0687096330905593,0.0687096330905593,NA,NA,NA
"35_S11_T4","35","A13","Pausing",1,0,104.485,110.992,110.992,171.666666666667,4178,0,2267,2423,2423,3880,21.2328289171975,21.2328289171975,18.7325078395062,6.50700000000001,0,0.153680651605963,60.6746666666667,0.0824067155979431,0.0494440293587659
"35_S11_T4","35","A13","Extension",1,0,104.485,110.992,NA,NA,4178,0,2267,2423,NA,NA,21.2328289171975,21.2328289171975,NA,6.50700000000001,0,0.153680651605963,NA,NA,NA
