"Rep","time","mintime","chainlength","gaplength","from","to","step","time_adj"
"Chain1",450,0,67.6453617021277,17.063829787234,450,460,46,450
"Chain1",460,0,68.2411063829787,16.2978723404255,460,470,47,460
"Chain1",470,0,70.1134468085106,14.5389787234043,470,480,48,470
"Chain1",480,0,62.9645106382979,21.5744680851064,480,490,49,480
"Chain1",490,0,63.9857872340426,20.5531914893617,490,500,50,490
"Chain1",500,0,63.3900425531915,21.1489361702128,500,510,51,500
"Chain1",510,0,65.6028085106383,19.0496170212766,510,520,52,510
"Chain1",520,0,67.560255319149,17.0354893617021,520,530,53,520
"Chain1",530,0,70.5389787234043,13.6595744680851,530,540,54,530
"Chain1",540,0,73.2623829787234,12.2411063829787,540,550,55,540
"Chain1",550,0,75.219829787234,10.1702127659574,550,560,56,550
"Chain1",560,0,75.4751489361702,9.97165957446809,560,570,57,560
"Chain1",570,0,79.0354042553192,9.36170212765957,570,580,58,570
"Chain1",580,0,79.6453617021277,10.6808510638298,580,590,59,580
"Chain1",590,0,76.4113191489362,13.687914893617,590,600,60,590
"Chain1",600,0,75.0496170212766,14.9929361702128,600,610,61,600
"Chain1",610,0,78.9645106382979,11.4184680851064,610,620,62,610
"Chain1",620,0,80.7517446808511,12.0708936170213,620,630,63,620
"Chain1",630,0,81.0070638297872,11.7588936170213,630,640,64,630
"Chain1",640,0,82.5389787234042,11.0212765957447,640,650,65,640
"Chain1",650,0,85.9432340425532,7.844,650,660,66,650
"Chain1",660,0,81.4325957446808,14.7091914893617,660,670,67,660
"Chain1",670,0,80.5815319148936,15.4468085106383,670,680,68,670
"Chain1",680,0,90.2836595744681,6.82272340425532,680,690,69,680
"Chain1",690,0,94.7942978723404,7.41846808510639,690,700,70,690
"Chain2",300,300,6.51127118644068,26.5537288135593,300,310,1,0
"Chain2",310,300,14.0677966101695,18.8841525423729,310,320,2,10
"Chain2",320,300,12.5423728813559,20.4095762711864,320,330,3,20
"Chain2",330,300,12.8813559322034,19.9576271186441,330,340,4,30
"Chain2",340,300,15.593220338983,17.471779661017,340,350,5,40
"Chain2",350,300,13.3050847457627,19.7599152542373,350,360,6,50
"Chain2",360,300,14.4067796610169,18.5451694915254,360,370,7,60
"Chain2",370,300,16.1016949152542,17.0762711864407,370,380,8,70
"Chain2",380,300,15.7768644067797,17.2881355932203,380,390,9,80
"Chain2",390,300,15.4237288135593,17.6412711864407,390,400,10,90
"Chain2",400,300,22.5423728813559,10.5226271186441,400,410,11,100
"Chain2",410,300,30.2542372881356,8.91245762711865,410,420,12,110
"Chain2",420,300,30.593220338983,10.6073728813559,420,430,13,120
"Chain2",430,300,33.728813559322,9.5056779661017,430,440,14,130
"Chain2",440,300,39.3926271186441,12.3164406779661,440,450,15,140
"Chain2",450,300,42.7966101694915,11.0875423728814,450,460,16,150
"Chain2",460,300,46.1864406779661,8.26271186440677,460,470,17,160
"Chain2",470,300,43.6440677966102,12.8389830508475,470,480,18,170
"Chain2",480,300,43.4745762711864,13.2344915254237,480,490,19,180
"Chain2",490,300,44.7457627118644,11.9633050847458,490,500,20,190
"Chain2",500,300,47.2033898305085,12.7824576271186,500,510,21,200
"Chain2",510,300,47.5423728813559,12.6694915254237,510,520,22,210
"Chain2",520,300,51.5254237288136,10.6073728813559,520,530,23,220
"Chain2",530,300,46.200593220339,15.5932203389831,530,540,24,230
"Chain2",540,300,44.3220338983051,17.5847457627119,540,550,25,240
"Chain2",550,300,50.4237288135593,11.935,550,560,26,250
